x,z
1105.5103759765625,558.5314331054688
1105.510986328125,558.5245361328125
1105.5137939453125,558.4939575195312
1105.5506591796875,558.0859985351562
1105.6328125,557.17822265625
1105.7857666015625,555.487548828125
1106.183837890625,551.0919189453125
1107.0185546875,541.875
1107.4432373046875,537.1934204101562
1107.6138916015625,535.3173217773438
1107.7537841796875,533.7807006835938
1107.8939208984375,532.2427368164062
1108.0341796875,530.7033081054688
1108.205810546875,528.8198852539062
1108.377685546875,526.9343872070312
1108.5184326171875,525.3900756835938
1108.6904296875,523.5006103515625
1108.8624267578125,521.6090087890625
1109.0341796875,519.7152709960938
1109.205810546875,517.8193969726562
1109.377197265625,515.9214477539062
1109.5482177734375,514.0213623046875
1109.71875,512.1192016601562
1109.888916015625,510.21490478515625
1110.05859375,508.3085021972656
1110.2276611328125,506.3999938964844
1110.3653564453125,504.83795166015625
1110.5328369140625,502.92950439453125
1110.699462890625,501.0218200683594
1110.865234375,499.11492919921875
1111.0301513671875,497.2088623046875
1111.194091796875,495.3036193847656
1111.357177734375,493.3992004394531
1111.5194091796875,491.49554443359375
1111.6513671875,489.9384460449219
1111.81201171875,488.035400390625
1111.971923828125,486.13177490234375
1112.1312255859375,484.2267150878906
1112.26123046875,482.666259765625
1112.419921875,480.7563781738281
1112.5782470703125,478.84356689453125
1112.7364501953125,476.9279479980469
1112.89453125,475.0103454589844
1113.052490234375,473.09100341796875
1113.2105712890625,471.169921875
1113.368896484375,469.2471008300781
1113.5277099609375,467.3226318359375
1113.68701171875,465.39642333984375
1113.846923828125,463.4684753417969
1114.007568359375,461.5387878417969
1114.1689453125,459.6073303222656
1114.3310546875,457.6741943359375
1114.464111328125,456.0912780761719
1114.62744140625,454.1550598144531
1114.79150390625,452.2171630859375
1114.9561767578125,450.2776184082031
1115.1217041015625,448.3363952636719
1115.287841796875,446.39349365234375
1115.454833984375,444.44891357421875
1115.6226806640625,442.50262451171875
1115.7606201171875,440.90899658203125
1115.9298095703125,438.95965576171875
1116.099853515625,437.00860595703125
1116.2706298828125,435.055908203125
1116.4422607421875,433.10150146484375
1116.6148681640625,431.1453552246094
1116.7884521484375,429.1875305175781
1116.962890625,427.2279357910156
1117.1383056640625,425.26654052734375
1117.2822265625,423.6605224609375
1117.4427490234375,421.87469482421875
1117.61962890625,419.9086608886719
1117.7806396484375,418.119873046875
1117.9580078125,416.1505432128906
1118.13525390625,414.17950439453125
1118.3125,412.2066955566406
1118.4732666015625,410.4116516113281
1118.64990234375,408.4353332519531
1118.826171875,406.4571533203125
1118.986083984375,404.6571960449219
1119.1297607421875,403.0359802246094
1119.2889404296875,401.2332458496094
1119.4637451171875,399.24853515625
1119.637939453125,397.2620849609375
1119.7958984375,395.4546813964844
1119.9691162109375,393.4658508300781
1120.110107421875,391.8404235839844
1120.28125,389.8594055175781
1120.450927734375,387.88726806640625
1120.588623046875,386.2815246582031
1120.75537109375,384.3290710449219
1120.920654296875,382.3882141113281
1121.0546875,380.80877685546875
1121.21728515625,378.8889465332031
1121.349365234375,377.3267517089844
1121.509521484375,375.4277648925781
1121.66845703125,373.539794921875
1121.797607421875,372.00323486328125
1121.95458984375,370.1356506347656
1122.08203125,368.6164245605469
1122.23681640625,366.7705078125
1122.3626708984375,365.2691345214844
1122.515625,363.4450988769531
1122.667724609375,361.63323974609375
1122.8328857421875,359.6708068847656
1122.983642578125,357.88494873046875
1123.134033203125,356.1114807128906
1123.2974853515625,354.1910095214844
1123.44677734375,352.44366455078125
1123.5955810546875,350.7089538574219
1123.75732421875,348.83111572265625
1123.905029296875,347.1231689453125
1124.0655517578125,345.2738342285156
1124.2120361328125,343.59100341796875
1124.3707275390625,341.76837158203125
1124.515380859375,340.109375
1124.67236328125,338.3115539550781
1124.8153076171875,336.6745300292969
1124.9703369140625,334.900390625
1125.11181640625,333.2847900390625
1125.2529296875,331.6800231933594
1125.4063720703125,329.9423522949219
1125.5467529296875,328.3616638183594
1125.6868896484375,326.7926025390625
1125.8392333984375,325.09417724609375
1126.003662109375,323.2694396972656
1126.1549072265625,321.5987243652344
1126.2930908203125,320.0788269042969
1126.4306640625,318.5701904296875
1126.5802001953125,316.93780517578125
1126.75390625,315.0512390136719
1126.90234375,313.44903564453125
1127.074951171875,311.59661865234375
1127.2470703125,309.7624816894531
1127.3941650390625,308.2049560546875
1127.5653076171875,306.4040832519531
1127.7362060546875,304.6210021972656
1127.9068603515625,302.8549499511719
1128.0772705078125,301.1043701171875
1128.2471923828125,299.36895751953125
1128.4161376953125,297.64898681640625
1128.583984375,295.9446105957031
1128.739013671875,294.3763732910156
1128.9051513671875,292.7033386230469
1129.0704345703125,291.0470275878906
1129.2347412109375,289.4067687988281
1129.3983154296875,287.78240966796875
1129.5615234375,286.1740417480469
1129.7486572265625,284.3553161621094
1129.9144287109375,282.7796936035156
1130.08251953125,281.2189636230469
1130.25341796875,279.6729736328125
1130.4517822265625,277.9239501953125
1130.627685546875,276.4098815917969
1130.8055419921875,274.91119384765625
1131.02392578125,273.11199951171875
1131.2320556640625,271.4386291503906
1131.4564208984375,269.68115234375
1131.6854248046875,267.9449157714844
1131.9217529296875,266.22979736328125
1132.16796875,264.53533935546875
1132.4266357421875,262.8612976074219
1132.6988525390625,261.2081604003906
1132.9857177734375,259.5772705078125
1133.28955078125,257.9673767089844
1133.59228515625,256.4697265625
1133.912109375,254.98886108398438
1134.2496337890625,253.52410888671875
1134.62939453125,251.98387145996094
1135.056396484375,250.37123107910156
1135.484375,248.8663330078125
1135.93701171875,247.37916564941406
1136.4439697265625,245.8237762451172
1136.94873046875,244.373046875
1137.54296875,242.7721405029297
1138.136474609375,241.2730712890625
1138.759765625,239.7903289794922
1139.449951171875,238.2438201904297
1140.1341552734375,236.79714965820312
1140.8477783203125,235.36952209472656
1141.632568359375,233.88397216796875
1142.4052734375,232.49746704101562
1143.2064208984375,231.13230895996094
1144.0357666015625,229.78964233398438
1144.941650390625,228.3975067138672
1145.82763671875,227.10244750976562
1146.791259765625,225.76138305664062
1147.730712890625,224.51622009277344
1148.696044921875,223.2970733642578
